year,season,province,variety,area_old,area_updated,_merge,area_diff,area_abs_diff
2015,inseason,Mae Hong Son,ขาวดอกมะลิ105,1042994.0,33968.0,both,-1009026.0,1009026.0
2015,inseason,Mae Hong Son,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Mae Hong Son,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Mae Hong Son,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Mae Hong Son,พันธุ์พื้นเมือง,1534339.0,49970.0,both,-1484369.0,1484369.0
2015,inseason,Mae Hong Son,ราชการไม่ไวต่อช่วงแสง,1564123.0,50940.0,both,-1513183.0,1513183.0
2015,inseason,Mae Hong Son,ราชการไวต่อช่วงแสง,362536.0,11807.0,both,-350729.0,350729.0
2015,inseason,Mae Hong Son,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Mae Hong Son,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Mae Hong Son,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Maha Sarakham,กข15,1317142.0,43381.0,both,-1273761.0,1273761.0
2015,inseason,Maha Sarakham,กข6,29545730.0,973108.0,both,-28572622.0,28572622.0
2015,inseason,Maha Sarakham,ขาวดอกมะลิ105,30544707.0,1006011.0,both,-29538696.0,29538696.0
2015,inseason,Maha Sarakham,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Maha Sarakham,ชัยนาท1,231815.0,7635.0,both,-224180.0,224180.0
2015,inseason,Maha Sarakham,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Maha Sarakham,พันธุ์พื้นเมือง,488345.0,16084.0,both,-472261.0,472261.0
2015,inseason,Maha Sarakham,ราชการไม่ไวต่อช่วงแสง,751464.0,24750.0,both,-726714.0,726714.0
2015,inseason,Maha Sarakham,ราชการไวต่อช่วงแสง,766949.0,25260.0,both,-741689.0,741689.0
2015,inseason,Maha Sarakham,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Maha Sarakham,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
